MATERIAL;TIPO DE MEDIDOR;DIAMETRO;TEXTO
VELO550;VEL;8";MACROMEDIDORES TIPO WOTMAN DE 8 PGD
VOLU0600;VOL;10";MACROMEDIDOR TIPO WOTMAN DE 10 PGD
VOLU0350;VOL;2";MACROMEDIDOR TIPO WOTMAN DE 2 PGD R160
VOLU0400;VOL;3";MACROMEDIDOR TIPO WOTMAN DE 3 PGD R160
VOLU0450;VOL;4";MACROMEDIDOR TIPO WOTMAN DE 4 PGD R160
VOLU0500;VOL;6";MACROMEDIDOR TIPO WOTMAN DE 6 PGD R160
VOLU0550;VOL;8";MACROMEDIDOR TIPO WOTMAN DE 8 PGD R160
VELO15C;VEL;1/2";MEDIDOR DE VELOC DE 1/2" DEV. CLASE C
VELO015R200;VEL;1/2";MEDIDOR DE VELOCIDAD DE 1/2 PGD R200
VELWT050R080;VEL;2";MEDIDOR VELOCIDAD 2PGD CLASE WOLTMAN
VELWT080R080;VEL;3";MEDIDOR VELOCIDAD 3PGD CLASE WOLTMAN
VELWT100R080;VEL;4";MEDIDOR VELOCIDAD 4PGD CLASE WOLTMAN
VELO040B;VEL;1" 1/2;MEDIDOR VELOCIDAD DE 1 1/2 PGD CLASE B
VELO040C;VEL;1" 1/2;MEDIDOR VELOCIDAD DE 1 1/2 PGD CLASE C
VELO040R160;VEL;1" 1/2;MEDIDOR VELOCIDAD DE 1 1/2PGD CLASE R160
VELO025B;VEL;1";MEDIDOR VELOCIDAD DE 1 PGD CLASE B
VELO025C;VEL;1";MEDIDOR VELOCIDAD DE 1 PGD CLASE C
VELO025R160;VEL;1";MEDIDOR VELOCIDAD DE 1 PGD CLASE R160
VELO015R160;VEL;1/2";MEDIDOR VELOCIDAD DE 1/2 PGD  R160
VELO015B;VEL;1/2";MEDIDOR VELOCIDAD DE 1/2 PGD CLASE B
VELO015C;VEL;1/2";MEDIDOR VELOCIDAD DE 1/2 PGD CLASE C
VELO015T1;VEL;1/2";MEDIDOR VELOCIDAD DE 1/2"P SK1.1/DK2.1
VELO015T2;VEL;1/2";MEDIDOR VELOCIDAD DE 1/2"P SK1.1/DK2.2
