"COD_BARRIO";"TXT_BARRIO";"TXT_LOCALIDAD";"TXT_MUNICIPIO";"COD_LOCALIDAD"
0;"00. SIN ASIGNAR";"01. USAQUEN";"01. BOGOTA";1
1;"00. SIN ASIGNAR";"01. USAQUEN";"01. BOGOTA";1
2;"00. SIN ASIGNAR";"01. USAQUEN";"01. BOGOTA";1
3;"00. SIN ASIGNAR";"01. USAQUEN";"01. BOGOTA";1
4;"00. SIN ASIGNAR";"21. SOACHA";"02. SOACHA";21
5;"00. SIN ASIGNAR";"22. GACHANCIPA";"03. GACHANCIPA";22
6;"00. SIN ASIGNAR";"01. USAQUEN";"01. BOGOTA";1
7;"00. SIN ASIGNAR";"02. CHAPINERO";"01. BOGOTA";2
8;"00. SIN ASIGNAR";"03. SANTA FE";"01. BOGOTA";3
9;"00. SIN ASIGNAR";"04. SAN CRISTOBAL";"01. BOGOTA";4
10;"00. SIN ASIGNAR";"05. USME";"01. BOGOTA";5
11;"00. SIN ASIGNAR";"06. TUNJUELITO";"01. BOGOTA";6
12;"00. SIN ASIGNAR";"07. BOSA";"01. BOGOTA";7
13;"00. SIN ASIGNAR";"08. KENNEDY";"01. BOGOTA";8
14;"00. SIN ASIGNAR";"09. FONTIBON";"01. BOGOTA";9
15;"00. SIN ASIGNAR";"10. ENGATIVA";"01. BOGOTA";10
16;"00. SIN ASIGNAR";"11. SUBA";"01. BOGOTA";11
17;"00. SIN ASIGNAR";"12. BARRIOS UNIDOS";"01. BOGOTA";12
18;"00. SIN ASIGNAR";"13. TEUSAQUILLO";"01. BOGOTA";13
19;"00. SIN ASIGNAR";"14. LOS MARTIRES";"01. BOGOTA";14
20;"00. SIN ASIGNAR";"15. ANTONIO NARIÑO";"01. BOGOTA";15
21;"00. SIN ASIGNAR";"16. PUENTE ARANDA";"01. BOGOTA";16
22;"00. SIN ASIGNAR";"17. CANDELARIA";"01. BOGOTA";17
23;"00. SIN ASIGNAR";"18. RAFAEL URIBE";"01. BOGOTA";18
24;"00. SIN ASIGNAR";"19. CIUDAD BOLIVAR";"01. BOGOTA";19
25;"00. SIN ASIGNAR";"20. SUMAPAZ";"01. BOGOTA";20
26;"00. SIN ASIGNAR";"23. CAJICA";"04. CAJICA";23
27;"00. SIN ASIGNAR";"24. CHIA";"05. CHIA";24
28;"00. SIN ASIGNAR";"31. COOPJARDIN";"01. BOGOTA";31
29;"00. SIN ASIGNAR";"32. EMAR";"01. BOGOTA";32
30;"00. SIN ASIGNAR";"28. FUNZA";"09. FUNZA";28
31;"00. SIN ASIGNAR";"27. LA CALERA";"08. LA CALERA";27
32;"00. SIN ASIGNAR";"29. MADRID";"10. MADRID";29
33;"00. SIN ASIGNAR";"30. MOSQUERA";"11. MOSQUERA";30
34;"00. SIN ASIGNAR";"25. SOPO";"06. SOPO";25
35;"00. SIN ASIGNAR";"26. TOCANCIPA";"07. TOCANCIPA";26
36;"00. SIN ASIGNAR";"01. USAQUEN";"01. BOGOTA";1
37;"00. SIN ASIGNAR";"21. SOACHA";"02. SOACHA";21
38;"38. BUENAVISTA";"01. USAQUEN";"01. BOGOTA";1
39;"39. BUENAVISTA (INVASION)";"01. USAQUEN";"01. BOGOTA";1
40;"40. EL CODITO";"01. USAQUEN";"01. BOGOTA";1
41;"41. ESCUELA DE INFANTERIA";"01. USAQUEN";"01. BOGOTA";1
42;"42. FLORESTA DE LA SABANA";"01. USAQUEN";"01. BOGOTA";1
43;"43. JARDIN NORTE";"01. USAQUEN";"01. BOGOTA";1
44;"44. LA FRONTERA";"01. USAQUEN";"01. BOGOTA";1
45;"45. SAN ISIDRO-LA SUREÑA-SAN LUIS";"01. USAQUEN";"01. BOGOTA";1
46;"46. SANTA CECILIA PARTE ALTA";"01. USAQUEN";"01. BOGOTA";1
47;"47. SANTA CECILIA PARTE BAJA";"01. USAQUEN";"01. BOGOTA";1
48;"48. SERRAZUELITA";"01. USAQUEN";"01. BOGOTA";1
49;"49. SORATAMA";"01. USAQUEN";"01. BOGOTA";1
50;"50. VILLA OLIVA";"01. USAQUEN";"01. BOGOTA";1
51;"51. TOBERIN NORTE";"01. USAQUEN";"01. BOGOTA";1
52;"52. CASABLANCA NORTE";"01. USAQUEN";"01. BOGOTA";1
53;"53. CERROS NORTE";"01. USAQUEN";"01. BOGOTA";1
54;"54. DELICIAS DEL CARMEN";"01. USAQUEN";"01. BOGOTA";1
55;"55. DON BOSCO";"01. USAQUEN";"01. BOGOTA";1
56;"56. EL PAÑUELITO";"01. USAQUEN";"01. BOGOTA";1
57;"57. EL VERBENAL";"01. USAQUEN";"01. BOGOTA";1
58;"58. HORIZONTES";"01. USAQUEN";"01. BOGOTA";1
59;"59. LA CRISTALINA";"01. USAQUEN";"01. BOGOTA";1
60;"60. LA ESPERANZA";"01. USAQUEN";"01. BOGOTA";1
61;"61. LA URIBE";"01. USAQUEN";"01. BOGOTA";1
62;"62. SAGRADO CORAZON";"01. USAQUEN";"01. BOGOTA";1
63;"63. SAN ANTONIO II";"01. USAQUEN";"01. BOGOTA";1
64;"64. SAN ANTONIO NORTE";"01. USAQUEN";"01. BOGOTA";1
65;"65. SAN GABRIEL";"01. USAQUEN";"01. BOGOTA";1
66;"66. SAN JUAN BOSCO";"01. USAQUEN";"01. BOGOTA";1
67;"67. VILLA NYDIA";"01. USAQUEN";"01. BOGOTA";1
68;"68. ALTA BLANCA";"01. USAQUEN";"01. BOGOTA";1
69;"69. AUTOPISTA";"01. USAQUEN";"01. BOGOTA";1
70;"70. BABILONIA";"01. USAQUEN";"01. BOGOTA";1
71;"71. BARRANCAS";"01. USAQUEN";"01. BOGOTA";1
72;"72. GEOREFERENCIADO";"01. USAQUEN";"01. BOGOTA";1
73;"73. BELLA SUIZA";"01. USAQUEN";"01. BOGOTA";1
74;"74. BELMIRA";"01. USAQUEN";"01. BOGOTA";1
75;"75. VERBENAL";"01. USAQUEN";"01. BOGOTA";1
76;"76. BOSQUE MEDINA";"01. USAQUEN";"01. BOGOTA";1
77;"77. BOSQUES DE LOS PINOS";"01. USAQUEN";"01. BOGOTA";1
78;"78. CONTADOR";"01. USAQUEN";"01. BOGOTA";1
79;"79. CANAIMA";"01. USAQUEN";"01. BOGOTA";1
80;"80. EL ROCIO NORTE";"01. USAQUEN";"01. BOGOTA";1
81;"81. CAPRI";"01. USAQUEN";"01. BOGOTA";1
82;"82. CEDRITOS";"01. USAQUEN";"01. BOGOTA";1
83;"83. CEDRO GOLF CLUB";"01. USAQUEN";"01. BOGOTA";1
84;"84. CEDROS ORIENTALES";"01. USAQUEN";"01. BOGOTA";1
85;"85. SERVITA";"01. USAQUEN";"01. BOGOTA";1
86;"86. COUNTRY CLUB";"01. USAQUEN";"01. BOGOTA";1
87;"87. COOVIVIENDAS TELECOM";"01. USAQUEN";"01. BOGOTA";1
88;"88. EL CEDRITO";"01. USAQUEN";"01. BOGOTA";1
89;"89. EL CEDRO";"01. USAQUEN";"01. BOGOTA";1
90;"90. EL CEDRO BOLIVAR";"01. USAQUEN";"01. BOGOTA";1
91;"91. EL DORADO NORTE";"01. USAQUEN";"01. BOGOTA";1
92;"92. EL PEDREGAL";"01. USAQUEN";"01. BOGOTA";1
93;"93. EL REDIL";"01. USAQUEN";"01. BOGOTA";1
94;"94. ESCUELA DE CABALLERIA";"01. USAQUEN";"01. BOGOTA";1
95;"95. ESTRELLA DEL NORTE";"01. USAQUEN";"01. BOGOTA";1
96;"96. FLORESTA";"01. USAQUEN";"01. BOGOTA";1
97;"97. FRANCISCO MIRANDA";"01. USAQUEN";"01. BOGOTA";1
98;"98. GINEBRA";"01. USAQUEN";"01. BOGOTA";1
99;"99. TUBOS AMERICAN PIPE";"01. USAQUEN";"01. BOGOTA";1
100;"100. LAS QUINTAS";"01. USAQUEN";"01. BOGOTA";1
101;"101. LA CALLEJA";"01. USAQUEN";"01. BOGOTA";1
102;"102. LA CAROLINA";"01. USAQUEN";"01. BOGOTA";1
103;"103. LA CITA";"01. USAQUEN";"01. BOGOTA";1
104;"104. LA ESTRELLA DEL NORTE";"01. USAQUEN";"01. BOGOTA";1
105;"105. GUANICA";"01. USAQUEN";"01. BOGOTA";1
106;"106. LA ESTRELLITA";"01. USAQUEN";"01. BOGOTA";1
107;"107. LA LIBERTAD";"01. USAQUEN";"01. BOGOTA";1
108;"108. JARDINES DE PAZ";"01. USAQUEN";"01. BOGOTA";1
109;"109. LA SONORA";"01. USAQUEN";"01. BOGOTA";1
110;"110. LOS CEDROS";"01. USAQUEN";"01. BOGOTA";1
111;"111. LAS DELICIAS DEL CARMEN";"01. USAQUEN";"01. BOGOTA";1
112;"112. LAS MARGARITAS I";"01. USAQUEN";"01. BOGOTA";1
113;"113. LAS ORQUIDEAS";"01. USAQUEN";"01. BOGOTA";1
114;"114. LIJACA";"01. USAQUEN";"01. BOGOTA";1
115;"115. LISBOA";"01. USAQUEN";"01. BOGOTA";1
116;"116. LOS ARRAYANES";"01. USAQUEN";"01. BOGOTA";1
117;"117. LOS CEDRITOS";"01. USAQUEN";"01. BOGOTA";1
118;"118. LOS MOLINOS DEL NORTE";"01. USAQUEN";"01. BOGOTA";1
119;"119. MARANTA";"01. USAQUEN";"01. BOGOTA";1
120;"120. MOLINOS DEL NORTE";"01. USAQUEN";"01. BOGOTA";1
121;"121. MULTICENTRO";"01. USAQUEN";"01. BOGOTA";1
122;"122. NAVARRA";"01. USAQUEN";"01. BOGOTA";1
123;"123. NUEVA AUTOPISTA";"01. USAQUEN";"01. BOGOTA";1
124;"124. NUEVO COUNTRY";"01. USAQUEN";"01. BOGOTA";1
125;"125. OTOÑO";"01. USAQUEN";"01. BOGOTA";1
126;"126. PANTANITOS";"01. USAQUEN";"01. BOGOTA";1
127;"127. PRADOS DEL COUNTRY";"01. USAQUEN";"01. BOGOTA";1
128;"128. RECODO DEL COUNTRY";"01. USAQUEN";"01. BOGOTA";1
129;"129. RINCON DEL CHICO";"01. USAQUEN";"01. BOGOTA";1
130;"130. SAN CRISTOBAL ALTO";"01. USAQUEN";"01. BOGOTA";1
131;"131. SAN CRISTOBAL NORTE";"01. USAQUEN";"01. BOGOTA";1
132;"132. SAN GABRIEL DEL NORTE";"01. USAQUEN";"01. BOGOTA";1
133;"133. SAN PATRICIO";"01. USAQUEN";"01. BOGOTA";1
134;"134. SANTA ANA";"01. USAQUEN";"01. BOGOTA";1
135;"135. SANTA ANA I";"01. USAQUEN";"01. BOGOTA";1
136;"136. SANTA ANA OCCIDENTAL";"01. USAQUEN";"01. BOGOTA";1
137;"137. SANTA BARBARA";"01. USAQUEN";"01. BOGOTA";1
138;"138. SANTA ANA ORIENTAL";"01. USAQUEN";"01. BOGOTA";1
139;"139. SANTA BARBARA CENTRAL";"01. USAQUEN";"01. BOGOTA";1
140;"140. SANTA BARBARA CENTRAL OCCIDENT";"01. USAQUEN";"01. BOGOTA";1
141;"141. SANTA CECILIA BAJA";"01. USAQUEN";"01. BOGOTA";1
142;"142. SANTA MONICA-LA PRADERA";"01. USAQUEN";"01. BOGOTA";1
143;"143. SANTA PAULA";"01. USAQUEN";"01. BOGOTA";1
144;"144. SANTA TERESA";"01. USAQUEN";"01. BOGOTA";1
145;"145. SANTA VIVIANA";"01. USAQUEN";"01. BOGOTA";1
146;"146. SANTACOLOMA";"01. USAQUEN";"01. BOGOTA";1
147;"147. SERVITA";"01. USAQUEN";"01. BOGOTA";1
148;"148. SOATAMA";"01. USAQUEN";"01. BOGOTA";1
149;"149. SOPO";"01. USAQUEN";"01. BOGOTA";1
150;"150. TIBABITA I";"01. USAQUEN";"01. BOGOTA";1
151;"151. TOBAGO";"01. USAQUEN";"01. BOGOTA";1
152;"152. TOBERIN";"01. USAQUEN";"01. BOGOTA";1
153;"153. TORCOROMA";"01. USAQUEN";"01. BOGOTA";1
154;"154. URB. SEÑORIAL";"01. USAQUEN";"01. BOGOTA";1
155;"155. USAQUEN";"01. USAQUEN";"01. BOGOTA";1
156;"156. VILLA NOHORA";"01. USAQUEN";"01. BOGOTA";1
157;"157. TIBABITA";"01. USAQUEN";"01. BOGOTA";1
158;"158. LA PRADERA NORTE";"01. USAQUEN";"01. BOGOTA";1
159;"159. LAS ACACIAS";"01. USAQUEN";"01. BOGOTA";1
160;"160. CEDRO NARVAEZ";"01. USAQUEN";"01. BOGOTA";1
161;"161. LOS CEDROS DES. LA MOJANA";"01. USAQUEN";"01. BOGOTA";1
162;"162. CAOBOS SALAZAR";"01. USAQUEN";"01. BOGOTA";1
163;"163. LA GRANJA NORTE";"01. USAQUEN";"01. BOGOTA";1
164;"164. SAN ANTONIO NOR OCCIDENTAL";"01. USAQUEN";"01. BOGOTA";1
165;"165. LAS MARGARITAS";"01. USAQUEN";"01. BOGOTA";1
166;"166. CERRO SAN CRISTOBAL NORTE";"01. USAQUEN";"01. BOGOTA";1
167;"167. EL JARDIN";"01. USAQUEN";"01. BOGOTA";1
